id,label,weight
Mrs Dursley,Mrs Dursley,18
Mr Dursley,Mr Dursley,29
Dursley,Dursley,4
Dudley,Dudley,136
Mrs Potter,Mrs Potter,1
Tuesday,Tuesday,3
Harry,Harry,1257
Potter,Potter,44
Harvey,Harvey,1
Harold,Harold,1
Jim,Jim,1
Ted,Ted,1
Kent,Kent,2
Petunia,Petunia,56
Howard,Howard,1
Albus Dumbledore,Albus Dumbledore,7
Dumbledore,Dumbledore,139
McGonagall,McGonagall,97
Dedalus Diggle,Dedalus Diggle,4
You-Know-Who,You-Know-Who,14
Voldemort,Voldemort,33
Madam Pomfrey,Madam Pomfrey,13
Godric,Godric,1
Lily,Lily,6
James Potter,James Potter,2
James,James,3
Albus,Albus,2
Harry Potter,Harry Potter,18
Hagrid,Hagrid,335
Sirius Black,Sirius Black,1
Dudley Dursley,Dudley Dursley,1
Don,Don,5
Vernon,Vernon,109
Marge,Marge,3
Mommy,Mommy,1
Figg,Figg,1
Mrs Figg,Mrs Figg,7
Lord,Lord,2
Dennis,Dennis,1
Malcolm,Malcolm,1
Gordon,Gordon,1
Happy,Happy,1
Rubeus Hagrid,Rubeus Hagrid,1
Vernon Dursley,Vernon Dursley,1
Merlin,Merlin,2
Mr Potter,Mr Potter,12
Minerva McGonagall,Minerva McGonagall,1
Hope,Hope,1
Hagrid Hagrid,Hagrid Hagrid,1
See,See,6
Bones,Bones,1
Cornelius Fudge,Cornelius Fudge,1
Miranda,Miranda,1
Bathilda Bagshot,Bathilda Bagshot,1
Phyllida,Phyllida,1
Newt Scamander,Newt Scamander,1
Quentin,Quentin,1
Tom,Tom,1
Diggle,Diggle,1
Doris,Doris,2
Quirrell,Quirrell,104
Black Forest,Black Forest,1
Alley,Alley,7
Barn,Barn,1
Brown,Brown,1
Madam Malkin,Madam Malkin,7
Slytherin,Slytherin,43
Mr Ollivander,Mr Ollivander,16
Rubeus,Rubeus,1
Ollivander,Ollivander,2
King,King,6
Hedwig,Hedwig,12
August,August,1
Ginny,Ginny,4
Percy,Percy,32
Fred,Fred,26
George,George,19
Ron,Ron,421
Neville,Neville,106
Lee,Lee,2
Ronnie,Ronnie,1
Saw,Saw,1
Georg,Georg,1
Lee Jordan,Lee Jordan,8
George Weasley,George Weasley,8
Bill,Bill,5
Charlie,Charlie,18
Bertie,Bertie,4
Grindelwald,Grindelwald,2
Nicolas,Nicolas,12
Morgana,Morgana,2
Sunshine,Sunshine,1
Hermione Granger,Hermione Granger,17
Ron Weasley,Ron Weasley,1
Hermione,Hermione,244
Gryffindor,Gryffindor,79
Ravenclaw,Ravenclaw,9
Crabbe,Crabbe,20
Goyle,Goyle,24
Malfoy,Malfoy,110
Draco Malfoy,Draco Malfoy,9
Hall,Hall,15
Will,Will,1
Hannah,Hannah,2
Susan,Susan,1
Terry,Terry,1
Seamus,Seamus,14
Neville Longbottom,Neville Longbottom,2
Weasley,Weasley,20
Dean,Dean,8
Black,Black,1
Lisa,Lisa,1
Percy Weasley,Percy Weasley,3
Blaise,Blaise,1
Nicholas,Nicholas,3
Seamus Finnigan,Seamus Finnigan,6
Nick,Nick,3
Baron,Baron,7
Enid,Enid,1
Snape,Snape,155
Mr Filch,Mr Filch,3
Madam Hooch,Madam Hooch,11
Argus Filch,Argus Filch,1
Filch,Filch,49
Mrs Norris,Mrs Norris,12
Sprout,Sprout,4
Binns,Binns,3
Flitwick,Flitwick,20
Hagrid Harry,Hagrid Harry,1
Dean Thomas,Dean Thomas,2
West Ham,West Ham,2
Parvati Patil,Parvati Patil,3
Pansy Parkinson,Pansy Parkinson,1
Parvati,Parvati,1
Longbottom,Longbottom,5
Hooch,Hooch,1
Miss Patil,Miss Patil,1
Mr Weasley,Mr Weasley,1
Wood,Wood,47
Oliver Wood,Oliver Wood,4
Charlie Weasley,Charlie Weasley,2
Severus Snape,Severus Snape,1
Gregory,Gregory,1
Lady,Lady,8
Pomfrey,Pomfrey,1
Miss Granger,Miss Granger,4
Lavender,Lavender,1
Granger,Granger,3
Angelina Johnson,Angelina Johnson,2
Fred Weasley,Fred Weasley,4
Oliver,Oliver,1
Marcus Flint,Marcus Flint,5
Flint,Flint,8
Alicia Spinnet,Alicia Spinnet,1
Johnson,Johnson,2
Katie Bell,Katie Bell,1
Adrian,Adrian,2
Angelina,Angelina,2
Way,Way,1
Bell,Bell,2
Terence,Terence,1
Red,Red,2
Spinnet,Spinnet,2
Mrs Weasley,Mrs Weasley,4
Madam Pince,Madam Pince,3
Eve,Eve,1
Merry,Merry,1
Ronald Weasley,Ronald Weasley,3
Mr Nicolas,Mr Nicolas,1
Devon,Devon,1
Severus,Severus,3
Easter,Easter,1
Moaning,Moaning,1
Welsh,Welsh,1
Norbert,Norbert,21
Love,Love,1
Mr Longbottom,Mr Longbottom,1
McGonagall Harry,McGonagall Harry,1
Draco,Draco,1
Ruddy,Ruddy,1
Lucky,Lucky,1
Haven,Haven,1
Trevor,Trevor,2
Mr Baron,Mr Baron,1
Lord Voldemort,Lord Voldemort,2
Mr Malfoy,Mr Malfoy,1
Ginny Weasley,Ginny Weasley,1
