source,target,weight
Harry,Ron,30795
Harry,Hermione,28706
Harry,Dumbledore,15459
Harry,Hagrid,8920
Harry,Snape,7746
Harry,Voldemort,6522
Harry,Malfoy,6223
Harry,Sirius,5931
Harry,Fred,6256
Harry,Lupin,4338
Harry,Harry Potter,7921
Harry,George,5763
Harry,McGonagall,4978
Harry,Ginny,5718
Harry,Neville,4540
Harry,Mrs Weasley,4063
Harry,Mr Weasley,3770
Harry,Umbridge,3194
Harry,Gryffindor,6048
Harry,Potter,5294
Harry,Vernon,2683
Harry,Moody,2298
Harry,Dudley,2276
Harry,Fudge,1880
Harry,Slughorn,2150
Harry,Dobby,1533
Harry,Percy,2475
Harry,Black,2009
Harry,Slytherin,3128
Ron,Hermione,23880
Ron,Dumbledore,6806
Ron,Hagrid,5308
Ron,Snape,4225
Ron,Voldemort,2598
Ron,Malfoy,4316
Ron,Sirius,3114
Ron,Fred,4931
Ron,Lupin,2367
Ron,Harry Potter,4101
Ron,George,4548
Ron,McGonagall,3127
Ron,Ginny,4460
Ron,Neville,3353
Ron,Mrs Weasley,2877
Ron,Mr Weasley,2173
Ron,Umbridge,1791
Ron,Gryffindor,4452
Ron,Potter,2268
Ron,Vernon,550
Ron,Moody,1102
Ron,Dudley,424
Ron,Fudge,631
Ron,Slughorn,1161
Ron,Dobby,816
Ron,Percy,1913
Ron,Black,1111
Ron,Slytherin,2037
Hermione,Dumbledore,6616
Hermione,Hagrid,5440
Hermione,Snape,3966
Hermione,Voldemort,2676
Hermione,Malfoy,3734
Hermione,Sirius,3299
Hermione,Fred,3761
Hermione,Lupin,2278
Hermione,Harry Potter,3938
Hermione,George,3496
Hermione,McGonagall,2591
Hermione,Ginny,3832
Hermione,Neville,3011
Hermione,Mrs Weasley,2174
Hermione,Mr Weasley,1552
Hermione,Umbridge,2064
Hermione,Gryffindor,3935
Hermione,Potter,2206
Hermione,Vernon,364
Hermione,Moody,1016
Hermione,Dudley,318
Hermione,Fudge,706
Hermione,Slughorn,1100
Hermione,Dobby,828
Hermione,Percy,1396
Hermione,Black,1243
Hermione,Slytherin,1493
Dumbledore,Hagrid,2523
Dumbledore,Snape,3302
Dumbledore,Voldemort,3411
Dumbledore,Malfoy,1267
Dumbledore,Sirius,2155
Dumbledore,Fred,1192
Dumbledore,Lupin,1056
Dumbledore,Harry Potter,2362
Dumbledore,George,1086
Dumbledore,McGonagall,2045
Dumbledore,Ginny,1191
Dumbledore,Neville,774
Dumbledore,Mrs Weasley,1073
Dumbledore,Mr Weasley,938
Dumbledore,Umbridge,961
Dumbledore,Gryffindor,1317
Dumbledore,Potter,1600
Dumbledore,Vernon,400
Dumbledore,Moody,920
Dumbledore,Dudley,258
Dumbledore,Fudge,1272
Dumbledore,Slughorn,870
Dumbledore,Dobby,434
Dumbledore,Percy,664
Dumbledore,Black,487
Dumbledore,Slytherin,679
Hagrid,Snape,968
Hagrid,Voldemort,697
Hagrid,Malfoy,1379
Hagrid,Sirius,579
Hagrid,Fred,713
Hagrid,Lupin,529
Hagrid,Harry Potter,1464
Hagrid,George,676
Hagrid,McGonagall,1100
Hagrid,Ginny,662
Hagrid,Neville,662
Hagrid,Mrs Weasley,529
Hagrid,Mr Weasley,302
Hagrid,Umbridge,436
Hagrid,Gryffindor,1021
Hagrid,Potter,712
Hagrid,Vernon,352
Hagrid,Moody,436
Hagrid,Dudley,236
Hagrid,Fudge,312
Hagrid,Slughorn,290
Hagrid,Dobby,121
Hagrid,Percy,309
Hagrid,Black,293
Hagrid,Slytherin,457
Snape,Voldemort,1180
Snape,Malfoy,1543
