id,label,weight
Mrs Dursley,Mrs Dursley,20
Mr Dursley,Mr Dursley,31
Dursley,Dursley,12
Dudley,Dudley,380
Mrs Potter,Mrs Potter,2
Tuesday,Tuesday,16
Harry,Harry,15327
Potter,Potter,490
Jim,Jim,2
Ted,Ted,12
Kent,Kent,2
Petunia,Petunia,253
Howard,Howard,1
Albus Dumbledore,Albus Dumbledore,71
Dumbledore,Dumbledore,2640
McGonagall,McGonagall,610
Dedalus Diggle,Dedalus Diggle,9
You-Know-Who,You-Know-Who,129
Voldemort,Voldemort,956
Madam Pomfrey,Madam Pomfrey,148
Godric,Godric,54
Lily,Lily,89
James Potter,James Potter,18
James,James,142
Albus,Albus,86
Harry Potter,Harry Potter,734
Hagrid,Hagrid,1672
Sirius Black,Sirius Black,53
Dudley Dursley,Dudley Dursley,4
Don,Don,74
Vernon,Vernon,419
Marge,Marge,53
Mommy,Mommy,1
Figg,Figg,1
Mrs Figg,Mrs Figg,49
Lord,Lord,231
Dennis,Dennis,4
Malcolm,Malcolm,3
Gordon,Gordon,1
Happy,Happy,3
Rubeus Hagrid,Rubeus Hagrid,5
Vernon Dursley,Vernon Dursley,16
Merlin,Merlin,22
Mr Potter,Mr Potter,50
Minerva McGonagall,Minerva McGonagall,6
Hope,Hope,6
Hagrid Hagrid,Hagrid Hagrid,1
See,See,28
Bones,Bones,3
Cornelius Fudge,Cornelius Fudge,45
Miranda,Miranda,4
Bathilda Bagshot,Bathilda Bagshot,12
Phyllida,Phyllida,1
Newt Scamander,Newt Scamander,1
Quentin,Quentin,1
Tom,Tom,56
Diggle,Diggle,4
Doris,Doris,3
Quirrell,Quirrell,110
Black Forest,Black Forest,2
Alley,Alley,46
Barn,Barn,1
Brown,Brown,2
Madam Malkin,Madam Malkin,24
Slytherin,Slytherin,288
Mr Ollivander,Mr Ollivander,44
Ollivander,Ollivander,54
King,King,49
Hedwig,Hedwig,181
August,August,13
Ginny,Ginny,606
Percy,Percy,313
Fred,Fred,747
George,George,608
Ron,Ron,5335
Neville,Neville,623
Lee,Lee,39
Ronnie,Ronnie,4
Saw,Saw,3
Georg,Georg,1
Lee Jordan,Lee Jordan,48
George Weasley,George Weasley,35
Bill,Bill,251
Charlie,Charlie,83
Bertie,Bertie,8
Grindelwald,Grindelwald,43
Nicolas,Nicolas,13
Morgana,Morgana,2
Sunshine,Sunshine,2
Hermione Granger,Hermione Granger,36
Ron Weasley,Ron Weasley,11
Gryffindor,Gryffindor,529
Ravenclaw,Ravenclaw,114
Crabbe,Crabbe,215
Goyle,Goyle,205
Malfoy,Malfoy,953
Draco Malfoy,Draco Malfoy,96
Hermione,Hermione,4453
Hall,Hall,219
Will,Will,23
Hannah,Hannah,9
Susan,Susan,3
Terry,Terry,3
Seamus,Seamus,128
Neville Longbottom,Neville Longbottom,28
Weasley,Weasley,150
Dean,Dean,136
Black,Black,296
Lisa,Lisa,1
Percy Weasley,Percy Weasley,22
Blaise,Blaise,4
Nicholas,Nicholas,5
Seamus Finnigan,Seamus Finnigan,33
Nick,Nick,90
Baron,Baron,19
Enid,Enid,3
Snape,Snape,1529
Mr Filch,Mr Filch,18
Madam Hooch,Madam Hooch,51
Argus Filch,Argus Filch,10
Filch,Filch,230
Mrs Norris,Mrs Norris,54
Sprout,Sprout,73
Binns,Binns,44
Flitwick,Flitwick,122
Hagrid Harry,Hagrid Harry,1
Dean Thomas,Dean Thomas,41
West Ham,West Ham,4
Parvati Patil,Parvati Patil,17
Pansy Parkinson,Pansy Parkinson,38
Parvati,Parvati,97
Longbottom,Longbottom,33
Hooch,Hooch,1
Miss Patil,Miss Patil,1
Mr Weasley,Mr Weasley,581
Wood,Wood,143
Oliver Wood,Oliver Wood,20
Charlie Weasley,Charlie Weasley,6
Severus Snape,Severus Snape,20
Gregory,Gregory,2
Lady,Lady,60
Pomfrey,Pomfrey,6
McGonagall Harry,McGonagall Harry,2
Miss Granger,Miss Granger,42
Lavender,Lavender,92
Granger,Granger,30
Angelina Johnson,Angelina Johnson,12
Fred Weasley,Fred Weasley,18
Oliver,Oliver,12
Marcus Flint,Marcus Flint,9
Flint,Flint,24
Alicia Spinnet,Alicia Spinnet,15
Johnson,Johnson,15
Katie Bell,Katie Bell,31
Adrian,Adrian,4
Angelina,Angelina,89
Way,Way,2
Bell,Bell,7
Terence,Terence,1
Red,Red,9
Spinnet,Spinnet,5
Mrs Weasley,Mrs Weasley,639
Madam Pince,Madam Pince,19
Eve,Eve,6
Merry,Merry,5
Ronald Weasley,Ronald Weasley,10
Mr Nicolas,Mr Nicolas,1
Devon,Devon,1
Severus,Severus,64
Easter,Easter,20
Moaning,Moaning,2
Welsh,Welsh,3
Norbert,Norbert,26
Love,Love,12
Mr Longbottom,Mr Longbottom,1
Draco,Draco,103
Lucky,Lucky,1
Haven,Haven,9
Trevor,Trevor,13
Mr Baron,Mr Baron,1
Lord Voldemort,Lord Voldemort,137
Mr Malfoy,Mr Malfoy,59
Ginny Weasley,Ginny Weasley,15
Forest,Forest,32
Mr Mason,Mr Mason,4
Mrs Mason,Mrs Mason,4
Say,Say,6
Mafalda Hopkirk,Mafalda Hopkirk,5
Lucius Malfoy,Lucius Malfoy,75
Errol,Errol,19
Celestina,Celestina,11
Lockhart,Lockhart,191
Gilderoy Lockhart,Gilderoy Lockhart,31
Mundungus Fletcher,Mundungus Fletcher,13
Molly,Molly,49
Arthur,Arthur,71
Martin,Martin,1
Tuck,Tuck,3
Star,Star,3
Arthur Weasley,Arthur Weasley,23
Draco Harry,Draco Harry,1
Lucius,Lucius,45
Mr Granger,Mr Granger,1
Mrs Granger,Mrs Granger,3
Ford,Ford,5
Mrs Hetty,Mrs Hetty,1
Mr Angus,Mr Angus,1
Willow,Willow,28
Minerva,Minerva,23
Finch-Fletchley,Finch-Fletchley,3
Justin,Justin,36
Colin Creevey,Colin Creevey,18
Colin,Colin,45
Mr Creevey,Mr Creevey,1
Creevey,Creevey,13
Ogden,Ogden,57
Miss Hermione,Miss Hermione,1
Wait,Wait,6
Alicia,Alicia,33
Katie,Katie,70
Gladys,Gladys,2
Veronica,Veronica,2
Scott,Scott,2
Patrick Delaney,Patrick Delaney,1
Sly,Sly,1
Madam,Madam,41
Patrick,Patrick,8
Hunt,Hunt,3
Moaning Myrtle,Moaning Myrtle,41
Myrtle,Myrtle,60
Argus,Argus,7
Gilderoy,Gilderoy,9
Justin Finch-Fletchley,Justin Finch-Fletchley,9
Lavender Brown,Lavender Brown,32
Godric Gryffindor,Godric Gryffindor,12
Helga,Helga,2
Rowena Ravenclaw,Rowena Ravenclaw,5
Salazar Slytherin,Salazar Slytherin,11
Miss Brown,Miss Brown,3
Potter Harry,Potter Harry,3
Miss Bulstrode,Miss Bulstrode,1
Millicent Bulstrode,Millicent Bulstrode,10
Millicent,Millicent,5
Boot,Boot,1
Ernie,Ernie,65
Sinistra,Sinistra,9
Peter Weasley,Peter Weasley,1
Bulstrode,Bulstrode,1
Riddle,Riddle,195
Mabel,Mabel,1
