source,target,label
Harry,Ron,1
Harry,Hermione,1
Ron,Hermione,1
Harry,Dumbledore,1
Harry,Hagrid,1
Harry,Snape,0
Harry,Malfoy,0
Harry,Sirius,1
Harry,Voldemort,0
Fred,George,1
Harry,Fred,1
Harry,Ginny,1
Harry,Harry Potter,1
Harry,George,1
Harry,Neville,1
Harry,Lupin,1
Harry,Gryffindor,1
Hermione,Hagrid,1
Harry,McGonagall,1
Ron,Hagrid,1
Harry,Mrs Weasley,1
Ron,Dumbledore,1
Harry,Mr Weasley,1
Harry,Vernon,0
Harry,Potter,1
Hermione,Dumbledore,1
Ron,Ginny,1
Harry,Umbridge,0
Ron,Fred,1
Ron,Malfoy,0
Harry,Slughorn,1
Dumbledore,Snape,1
Ron,George,1
Ron,Snape,0
Harry,Dudley,0
Hermione,Ginny,1
Hermione,Snape,0
Harry,Moody,1
Harry,Dobby,1
Dumbledore,Voldemort,0
Ron,Gryffindor,1
Hermione,Malfoy,0
Harry,Slytherin,0
Harry,Percy,1
Hermione,Fred,1
Ron,Neville,1
Hermione,Sirius,1
Harry,Fudge,0
Ron,Mrs Weasley,1
Hermione,Neville,1
Dumbledore,Hagrid,1
Ron,Sirius,1
Hermione,George,1
Hermione,Gryffindor,1
Dumbledore,Sirius,1
Harry,Black,1
Hermione,Umbridge,0
Ron,Harry Potter,1
Ron,McGonagall,1
Hermione,Harry Potter,1
Snape,Malfoy,1
Dumbledore,McGonagall,1
Dumbledore,Fudge,0
Hermione,Mrs Weasley,1
Ron,Percy,0
Vernon,Dudley,1
Ron,Lupin,1
Hermione,Voldemort,0
Hermione,Lupin,1
Snape,Potter,0
Hermione,McGonagall,1
Snape,Sirius,0
Dumbledore,Harry Potter,1
Sirius,Lupin,1
Ron,Voldemort,0
Fred,Mrs Weasley,1
Mrs Weasley,Mr Weasley,1
George,Mrs Weasley,1
Snape,Voldemort,1
Fred,Ginny,1
Ginny,Mrs Weasley,1
Ron,Umbridge,0
Snape,Lupin,0
Ron,Mr Weasley,1
Hagrid,Malfoy,0
George,Ginny,1
Ron,Slytherin,0
Snape,McGonagall,0
Gryffindor,Slytherin,0
Dumbledore,Malfoy,0
Harry Potter,Dobby,1
McGonagall,Gryffindor,1
Ginny,Neville,1
Voldemort,Sirius,0
Ron,Slughorn,1
Hermione,Slughorn,1
Dumbledore,Potter,1
Ron,Black,1
McGonagall,Potter,1
Dumbledore,Moody,1
Hermione,Mr Weasley,1
Dumbledore,Slughorn,1
Ron,Potter,1
Fred,Percy,0
Hermione,Potter,1
Hermione,Percy,1
Malfoy,Potter,0
Hermione,Moody,1
Malfoy,Slytherin,1
Hagrid,Harry Potter,1
Snape,Neville,0
Snape,Gryffindor,0
Fred,Mr Weasley,1
Hermione,Black,1
George,Mr Weasley,1
Ron,Moody,1
Malfoy,Neville,0
Sirius,Mrs Weasley,0
Hagrid,Snape,0
Dumbledore,Umbridge,0
Lupin,Black,1
McGonagall,Umbridge,0
Snape,Harry Potter,0
Voldemort,Harry Potter,0
Harry Potter,Mr Weasley,1
Hagrid,McGonagall,1
Hagrid,Umbridge,0
Snape,Moody,0
Malfoy,Gryffindor,0
Dumbledore,Lupin,1
Fred,Harry Potter,1
Dumbledore,Mr Weasley,1
Dumbledore,Gryffindor,1
Ron,Dobby,1
Hermione,Dobby,1
Dumbledore,Ginny,1
Hermione,Slytherin,0
Harry Potter,George,1
George,Percy,0
Hagrid,Slughorn,1
Fred,Gryffindor,1
Lupin,Mrs Weasley,1
Mr Weasley,Percy,1
Potter,Moody,1
Dumbledore,Neville,1
Snape,Black,0
Harry Potter,Moody,1
Dumbledore,Mrs Weasley,1
Mrs Weasley,Percy,1
Ginny,Mr Weasley,1
Dumbledore,Fred,1
Sirius,Harry Potter,1
Lupin,Neville,11
Harry Potter,Potter,1
Dumbledore,Percy,1
Sirius,Black,1
Snape,Umbridge,0
Sirius,George,1
Sirius,Ginny,1
Dumbledore,George,1
Hagrid,Voldemort,0
Hagrid,Sirius,1
Hermione,Fudge,0
Dumbledore,Slytherin,0
Hagrid,Gryffindor,1
Snape,Slytherin,1
Malfoy,Slughorn,1
Sirius,Fred,1
George,Umbridge,0
Ginny,Percy,0
Malfoy,Fred,0
George,Gryffindor,1
Neville,Gryffindor,1
